수준	날짜 및 시간	원본	이벤트 ID	작업 범주
정보	2020-08-06 오후 5:42:27	Microsoft-Windows-Security-Auditing	4663	File System	"개체에 액세스하려고 했습니다.

주체:
	보안 ID:		HJLEE-PC\Lee
	계정 이름:		Lee
	계정 도메인:		HJLEE-PC
	로그온 ID:		0x183439

개체:
	개체 서버:	Security
	개체 유형:	File
	개체 이름:	C:\TesterFolder\Alone.exe
	핸들 ID:		0x28d0
	리소스 특성:	S:AI

프로세스 정보:
	프로세스 ID:	0x1b10
	프로세스 이름:	C:\Windows\explorer.exe

액세스 요청 정보:
	액세스:	ReadData (또는 ListDirectory)
				
	액세스 마스크:	0x1"
정보	2020-08-06 오후 5:42:27	Microsoft-Windows-Security-Auditing	4656	File System	"개체에 대한 핸들을 요청했습니다.

주체:
	보안 ID:		HJLEE-PC\Lee
	계정 이름:		Lee
	계정 도메인:		HJLEE-PC
	로그온 ID:		0x183439

개체:
	개체 서버:		Security
	개체 유형:		File
	개체 이름:		C:\TesterFolder\Alone.exe
	핸들 ID:		0x28d0
	리소스 특성:	-

프로세스 정보:
	프로세스 ID:		0x1b10
	프로세스 이름:		C:\Windows\explorer.exe

액세스 요청 정보:
	트랜잭션 ID:		{00000000-0000-0000-0000-000000000000}
	액세스:		READ_CONTROL
				SYNCHRONIZE
				ReadData (또는 ListDirectory)
				ReadEA
				ReadAttributes
				
	액세스 이유:		READ_CONTROL:	소유권에 의해 허가됨
				SYNCHRONIZE:	허가됨	D:(A;ID;FA;;;S-1-5-21-672246340-2050370207-3556425990-500)
				ReadData (또는 ListDirectory):	허가됨	D:(A;ID;FA;;;S-1-5-21-672246340-2050370207-3556425990-500)
				ReadEA:	허가됨	D:(A;ID;FA;;;S-1-5-21-672246340-2050370207-3556425990-500)
				ReadAttributes:	허가됨	D:(A;ID;FA;;;S-1-5-21-672246340-2050370207-3556425990-500)
				
	액세스 마스크:		0x120089
	액세스 확인에 사용된 권한:	-
	제한된 SID 카운트:	0"
정보	2020-08-06 오후 5:42:27	Microsoft-Windows-Security-Auditing	4658	File System	"개체에 대한 핸들을 닫았습니다.

주체:
	보안 ID:		HJLEE-PC\Lee
	계정 이름:		Lee
	계정 도메인:		HJLEE-PC
	로그온 ID:		0x183439

개체:
	개체 서버:		Security
	핸들 ID:		0x2264

프로세스 정보:
	프로세스 ID:		0x1b10
	프로세스 이름:		C:\Windows\explorer.exe"
정보	2020-08-06 오후 5:42:27	Microsoft-Windows-Security-Auditing	4658	File System	"개체에 대한 핸들을 닫았습니다.

주체:
	보안 ID:		HJLEE-PC\Lee
	계정 이름:		Lee
	계정 도메인:		HJLEE-PC
	로그온 ID:		0x183439

개체:
	개체 서버:		Security
	핸들 ID:		0x28d0

프로세스 정보:
	프로세스 ID:		0x1b10
	프로세스 이름:		C:\Windows\explorer.exe"
정보	2020-08-06 오후 5:42:27	Microsoft-Windows-Security-Auditing	4658	File System	"개체에 대한 핸들을 닫았습니다.

주체:
	보안 ID:		HJLEE-PC\Lee
	계정 이름:		Lee
	계정 도메인:		HJLEE-PC
	로그온 ID:		0x183439

개체:
	개체 서버:		Security
	핸들 ID:		0x2f70

프로세스 정보:
	프로세스 ID:		0x1b10
	프로세스 이름:		C:\Windows\explorer.exe"
정보	2020-08-06 오후 5:42:27	Microsoft-Windows-Security-Auditing	4663	File System	"개체에 액세스하려고 했습니다.

주체:
	보안 ID:		HJLEE-PC\Lee
	계정 이름:		Lee
	계정 도메인:		HJLEE-PC
	로그온 ID:		0x183439

개체:
	개체 서버:	Security
	개체 유형:	File
	개체 이름:	C:\TesterFolder\Alone.exe
	핸들 ID:		0x2f70
	리소스 특성:	S:AI

프로세스 정보:
	프로세스 ID:	0x1b10
	프로세스 이름:	C:\Windows\explorer.exe

액세스 요청 정보:
	액세스:	ReadData (또는 ListDirectory)
				
	액세스 마스크:	0x1"
정보	2020-08-06 오후 5:42:27	Microsoft-Windows-Security-Auditing	4656	File System	"개체에 대한 핸들을 요청했습니다.

주체:
	보안 ID:		HJLEE-PC\Lee
	계정 이름:		Lee
	계정 도메인:		HJLEE-PC
	로그온 ID:		0x183439

개체:
	개체 서버:		Security
	개체 유형:		File
	개체 이름:		C:\TesterFolder\Alone.exe
	핸들 ID:		0x2f70
	리소스 특성:	-

프로세스 정보:
	프로세스 ID:		0x1b10
	프로세스 이름:		C:\Windows\explorer.exe

액세스 요청 정보:
	트랜잭션 ID:		{00000000-0000-0000-0000-000000000000}
	액세스:		READ_CONTROL
				SYNCHRONIZE
				ReadData (또는 ListDirectory)
				ReadEA
				실행/트래버스
				ReadAttributes
				
	액세스 이유:		READ_CONTROL:	소유권에 의해 허가됨
				SYNCHRONIZE:	허가됨	D:(A;ID;FA;;;S-1-5-21-672246340-2050370207-3556425990-500)
				ReadData (또는 ListDirectory):	허가됨	D:(A;ID;FA;;;S-1-5-21-672246340-2050370207-3556425990-500)
				ReadEA:	허가됨	D:(A;ID;FA;;;S-1-5-21-672246340-2050370207-3556425990-500)
				실행/트래버스:	허가됨	D:(A;ID;FA;;;S-1-5-21-672246340-2050370207-3556425990-500)
				ReadAttributes:	허가됨	D:(A;ID;FA;;;S-1-5-21-672246340-2050370207-3556425990-500)
				
	액세스 마스크:		0x1200A9
	액세스 확인에 사용된 권한:	-
	제한된 SID 카운트:	0"
정보	2020-08-06 오후 5:42:27	Microsoft-Windows-Security-Auditing	4658	File System	"개체에 대한 핸들을 닫았습니다.

주체:
	보안 ID:		HJLEE-PC\Lee
	계정 이름:		Lee
	계정 도메인:		HJLEE-PC
	로그온 ID:		0x183439

개체:
	개체 서버:		Security
	핸들 ID:		0x2264

프로세스 정보:
	프로세스 ID:		0x1b10
	프로세스 이름:		C:\Windows\explorer.exe"
정보	2020-08-06 오후 5:42:27	Microsoft-Windows-Security-Auditing	4663	File System	"개체에 액세스하려고 했습니다.

주체:
	보안 ID:		HJLEE-PC\Lee
	계정 이름:		Lee
	계정 도메인:		HJLEE-PC
	로그온 ID:		0x183439

개체:
	개체 서버:	Security
	개체 유형:	File
	개체 이름:	C:\TesterFolder\Alone.exe
	핸들 ID:		0x28d0
	리소스 특성:	S:AI

프로세스 정보:
	프로세스 ID:	0x1b10
	프로세스 이름:	C:\Windows\explorer.exe

액세스 요청 정보:
	액세스:	ReadAttributes
				
	액세스 마스크:	0x80"
정보	2020-08-06 오후 5:42:27	Microsoft-Windows-Security-Auditing	4663	File System	"개체에 액세스하려고 했습니다.

주체:
	보안 ID:		HJLEE-PC\Lee
	계정 이름:		Lee
	계정 도메인:		HJLEE-PC
	로그온 ID:		0x183439

개체:
	개체 서버:	Security
	개체 유형:	File
	개체 이름:	C:\TesterFolder\Alone.exe
	핸들 ID:		0x28d0
	리소스 특성:	S:AI

프로세스 정보:
	프로세스 ID:	0x1b10
	프로세스 이름:	C:\Windows\explorer.exe

액세스 요청 정보:
	액세스:	ReadData (또는 ListDirectory)
				
	액세스 마스크:	0x1"
정보	2020-08-06 오후 5:42:27	Microsoft-Windows-Security-Auditing	4656	File System	"개체에 대한 핸들을 요청했습니다.

주체:
	보안 ID:		HJLEE-PC\Lee
	계정 이름:		Lee
	계정 도메인:		HJLEE-PC
	로그온 ID:		0x183439

개체:
	개체 서버:		Security
	개체 유형:		File
	개체 이름:		C:\TesterFolder\Alone.exe
	핸들 ID:		0x28d0
	리소스 특성:	-

프로세스 정보:
	프로세스 ID:		0x1b10
	프로세스 이름:		C:\Windows\explorer.exe

액세스 요청 정보:
	트랜잭션 ID:		{00000000-0000-0000-0000-000000000000}
	액세스:		READ_CONTROL
				SYNCHRONIZE
				ReadData (또는 ListDirectory)
				ReadEA
				ReadAttributes
				
	액세스 이유:		READ_CONTROL:	소유권에 의해 허가됨
				SYNCHRONIZE:	허가됨	D:(A;ID;FA;;;S-1-5-21-672246340-2050370207-3556425990-500)
				ReadData (또는 ListDirectory):	허가됨	D:(A;ID;FA;;;S-1-5-21-672246340-2050370207-3556425990-500)
				ReadEA:	허가됨	D:(A;ID;FA;;;S-1-5-21-672246340-2050370207-3556425990-500)
				ReadAttributes:	허가됨	D:(A;ID;FA;;;S-1-5-21-672246340-2050370207-3556425990-500)
				
	액세스 마스크:		0x120089
	액세스 확인에 사용된 권한:	-
	제한된 SID 카운트:	0"
정보	2020-08-06 오후 5:42:27	Microsoft-Windows-Security-Auditing	4658	File System	"개체에 대한 핸들을 닫았습니다.

주체:
	보안 ID:		HJLEE-PC\Lee
	계정 이름:		Lee
	계정 도메인:		HJLEE-PC
	로그온 ID:		0x183439

개체:
	개체 서버:		Security
	핸들 ID:		0x2264

프로세스 정보:
	프로세스 ID:		0x1b10
	프로세스 이름:		C:\Windows\explorer.exe"
정보	2020-08-06 오후 5:42:27	Microsoft-Windows-Security-Auditing	4658	File System	"개체에 대한 핸들을 닫았습니다.

주체:
	보안 ID:		HJLEE-PC\Lee
	계정 이름:		Lee
	계정 도메인:		HJLEE-PC
	로그온 ID:		0x183439

개체:
	개체 서버:		Security
	핸들 ID:		0x33b4

프로세스 정보:
	프로세스 ID:		0x1b10
	프로세스 이름:		C:\Windows\explorer.exe"
정보	2020-08-06 오후 5:42:27	Microsoft-Windows-Security-Auditing	4663	File System	"개체에 액세스하려고 했습니다.

주체:
	보안 ID:		HJLEE-PC\Lee
	계정 이름:		Lee
	계정 도메인:		HJLEE-PC
	로그온 ID:		0x183439

개체:
	개체 서버:	Security
	개체 유형:	File
	개체 이름:	C:\TesterFolder
	핸들 ID:		0x33b4
	리소스 특성:	S:AI

프로세스 정보:
	프로세스 ID:	0x1b10
	프로세스 이름:	C:\Windows\explorer.exe

액세스 요청 정보:
	액세스:	READ_CONTROL
				
	액세스 마스크:	0x20000"
정보	2020-08-06 오후 5:42:27	Microsoft-Windows-Security-Auditing	4656	File System	"개체에 대한 핸들을 요청했습니다.

주체:
	보안 ID:		HJLEE-PC\Lee
	계정 이름:		Lee
	계정 도메인:		HJLEE-PC
	로그온 ID:		0x183439

개체:
	개체 서버:		Security
	개체 유형:		File
	개체 이름:		C:\TesterFolder
	핸들 ID:		0x33b4
	리소스 특성:	-

프로세스 정보:
	프로세스 ID:		0x1b10
	프로세스 이름:		C:\Windows\explorer.exe

액세스 요청 정보:
	트랜잭션 ID:		{00000000-0000-0000-0000-000000000000}
	액세스:		READ_CONTROL
				ReadAttributes
				
	액세스 이유:		READ_CONTROL:	소유권에 의해 허가됨
				ReadAttributes:	허가됨	D:(A;OICI;FA;;;S-1-5-21-672246340-2050370207-3556425990-500)
				
	액세스 마스크:		0x20080
	액세스 확인에 사용된 권한:	-
	제한된 SID 카운트:	0"
정보	2020-08-06 오후 5:42:27	Microsoft-Windows-Security-Auditing	4658	File System	"개체에 대한 핸들을 닫았습니다.

주체:
	보안 ID:		HJLEE-PC\Lee
	계정 이름:		Lee
	계정 도메인:		HJLEE-PC
	로그온 ID:		0x183439

개체:
	개체 서버:		Security
	핸들 ID:		0x2264

프로세스 정보:
	프로세스 ID:		0x1b10
	프로세스 이름:		C:\Windows\explorer.exe"
정보	2020-08-06 오후 5:42:27	Microsoft-Windows-Security-Auditing	4658	File System	"개체에 대한 핸들을 닫았습니다.

주체:
	보안 ID:		HJLEE-PC\Lee
	계정 이름:		Lee
	계정 도메인:		HJLEE-PC
	로그온 ID:		0x183439

개체:
	개체 서버:		Security
	핸들 ID:		0x33b4

프로세스 정보:
	프로세스 ID:		0x1b10
	프로세스 이름:		C:\Windows\explorer.exe"
정보	2020-08-06 오후 5:42:27	Microsoft-Windows-Security-Auditing	4656	File System	"개체에 대한 핸들을 요청했습니다.

주체:
	보안 ID:		HJLEE-PC\Lee
	계정 이름:		Lee
	계정 도메인:		HJLEE-PC
	로그온 ID:		0x183439

개체:
	개체 서버:		Security
	개체 유형:		File
	개체 이름:		C:\TesterFolder
	핸들 ID:		0x33b4
	리소스 특성:	-

프로세스 정보:
	프로세스 ID:		0x1b10
	프로세스 이름:		C:\Windows\explorer.exe

액세스 요청 정보:
	트랜잭션 ID:		{00000000-0000-0000-0000-000000000000}
	액세스:		SYNCHRONIZE
				ReadAttributes
				
	액세스 이유:		SYNCHRONIZE:	허가됨	D:(A;OICI;FA;;;S-1-5-21-672246340-2050370207-3556425990-500)
				ReadAttributes:	허가됨	D:(A;OICI;FA;;;S-1-5-21-672246340-2050370207-3556425990-500)
				
	액세스 마스크:		0x100080
	액세스 확인에 사용된 권한:	-
	제한된 SID 카운트:	0"
정보	2020-08-06 오후 5:42:27	Microsoft-Windows-Security-Auditing	4658	File System	"개체에 대한 핸들을 닫았습니다.

주체:
	보안 ID:		HJLEE-PC\Lee
	계정 이름:		Lee
	계정 도메인:		HJLEE-PC
	로그온 ID:		0x183439

개체:
	개체 서버:		Security
	핸들 ID:		0x2264

프로세스 정보:
	프로세스 ID:		0x1b10
	프로세스 이름:		C:\Windows\explorer.exe"
정보	2020-08-06 오후 5:42:27	Microsoft-Windows-Security-Auditing	4658	File System	"개체에 대한 핸들을 닫았습니다.

주체:
	보안 ID:		HJLEE-PC\Lee
	계정 이름:		Lee
	계정 도메인:		HJLEE-PC
	로그온 ID:		0x183439

개체:
	개체 서버:		Security
	핸들 ID:		0x33b4

프로세스 정보:
	프로세스 ID:		0x1b10
	프로세스 이름:		C:\Windows\explorer.exe"
정보	2020-08-06 오후 5:42:27	Microsoft-Windows-Security-Auditing	4656	File System	"개체에 대한 핸들을 요청했습니다.

주체:
	보안 ID:		HJLEE-PC\Lee
	계정 이름:		Lee
	계정 도메인:		HJLEE-PC
	로그온 ID:		0x183439

개체:
	개체 서버:		Security
	개체 유형:		File
	개체 이름:		C:\TesterFolder
	핸들 ID:		0x33b4
	리소스 특성:	-

프로세스 정보:
	프로세스 ID:		0x1b10
	프로세스 이름:		C:\Windows\explorer.exe

액세스 요청 정보:
	트랜잭션 ID:		{00000000-0000-0000-0000-000000000000}
	액세스:		SYNCHRONIZE
				ReadAttributes
				
	액세스 이유:		SYNCHRONIZE:	허가됨	D:(A;OICI;FA;;;S-1-5-21-672246340-2050370207-3556425990-500)
				ReadAttributes:	허가됨	D:(A;OICI;FA;;;S-1-5-21-672246340-2050370207-3556425990-500)
				
	액세스 마스크:		0x100080
	액세스 확인에 사용된 권한:	-
	제한된 SID 카운트:	0"
정보	2020-08-06 오후 5:42:27	Microsoft-Windows-Security-Auditing	4658	File System	"개체에 대한 핸들을 닫았습니다.

주체:
	보안 ID:		HJLEE-PC\Lee
	계정 이름:		Lee
	계정 도메인:		HJLEE-PC
	로그온 ID:		0x183439

개체:
	개체 서버:		Security
	핸들 ID:		0x2264

프로세스 정보:
	프로세스 ID:		0x1b10
	프로세스 이름:		C:\Windows\explorer.exe"
정보	2020-08-06 오후 5:42:27	Microsoft-Windows-Security-Auditing	4658	File System	"개체에 대한 핸들을 닫았습니다.

주체:
	보안 ID:		HJLEE-PC\Lee
	계정 이름:		Lee
	계정 도메인:		HJLEE-PC
	로그온 ID:		0x183439

개체:
	개체 서버:		Security
	핸들 ID:		0x33b4

프로세스 정보:
	프로세스 ID:		0x1b10
	프로세스 이름:		C:\Windows\explorer.exe"
정보	2020-08-06 오후 5:42:27	Microsoft-Windows-Security-Auditing	4656	File System	"개체에 대한 핸들을 요청했습니다.

주체:
	보안 ID:		HJLEE-PC\Lee
	계정 이름:		Lee
	계정 도메인:		HJLEE-PC
	로그온 ID:		0x183439

개체:
	개체 서버:		Security
	개체 유형:		File
	개체 이름:		C:\TesterFolder
	핸들 ID:		0x33b4
	리소스 특성:	-

프로세스 정보:
	프로세스 ID:		0x1b10
	프로세스 이름:		C:\Windows\explorer.exe

액세스 요청 정보:
	트랜잭션 ID:		{00000000-0000-0000-0000-000000000000}
	액세스:		SYNCHRONIZE
				ReadAttributes
				
	액세스 이유:		SYNCHRONIZE:	허가됨	D:(A;OICI;FA;;;S-1-5-21-672246340-2050370207-3556425990-500)
				ReadAttributes:	허가됨	D:(A;OICI;FA;;;S-1-5-21-672246340-2050370207-3556425990-500)
				
	액세스 마스크:		0x100080
	액세스 확인에 사용된 권한:	-
	제한된 SID 카운트:	0"
정보	2020-08-06 오후 5:42:27	Microsoft-Windows-Security-Auditing	4658	File System	"개체에 대한 핸들을 닫았습니다.

주체:
	보안 ID:		HJLEE-PC\Lee
	계정 이름:		Lee
	계정 도메인:		HJLEE-PC
	로그온 ID:		0x183439

개체:
	개체 서버:		Security
	핸들 ID:		0x2264

프로세스 정보:
	프로세스 ID:		0x1b10
	프로세스 이름:		C:\Windows\explorer.exe"
정보	2020-08-06 오후 5:42:27	Microsoft-Windows-Security-Auditing	4658	File System	"개체에 대한 핸들을 닫았습니다.

주체:
	보안 ID:		HJLEE-PC\Lee
	계정 이름:		Lee
	계정 도메인:		HJLEE-PC
	로그온 ID:		0x183439

개체:
	개체 서버:		Security
	핸들 ID:		0x33b4

프로세스 정보:
	프로세스 ID:		0x1b10
	프로세스 이름:		C:\Windows\explorer.exe"
정보	2020-08-06 오후 5:42:27	Microsoft-Windows-Security-Auditing	4656	File System	"개체에 대한 핸들을 요청했습니다.

주체:
	보안 ID:		HJLEE-PC\Lee
	계정 이름:		Lee
	계정 도메인:		HJLEE-PC
	로그온 ID:		0x183439

개체:
	개체 서버:		Security
	개체 유형:		File
	개체 이름:		C:\TesterFolder
	핸들 ID:		0x33b4
	리소스 특성:	-

프로세스 정보:
	프로세스 ID:		0x1b10
	프로세스 이름:		C:\Windows\explorer.exe

액세스 요청 정보:
	트랜잭션 ID:		{00000000-0000-0000-0000-000000000000}
	액세스:		SYNCHRONIZE
				ReadAttributes
				
	액세스 이유:		SYNCHRONIZE:	허가됨	D:(A;OICI;FA;;;S-1-5-21-672246340-2050370207-3556425990-500)
				ReadAttributes:	허가됨	D:(A;OICI;FA;;;S-1-5-21-672246340-2050370207-3556425990-500)
				
	액세스 마스크:		0x100080
	액세스 확인에 사용된 권한:	-
	제한된 SID 카운트:	0"
